pos;Nb;Mo;Ta;W;current
166;35.5;20.1;25;19.4;0
167;36.2;19.8;23.7;20.2;0
168;38.6;18.2;22.4;20.8;0
169;40.9;17.5;20.9;20.7;0
170;41.8;16.8;19.8;21.7;0
171;44.1;16.4;18.1;21.4;0
172;45.4;15.6;17.3;21.7;0
173;47.6;14;16.4;21.9;0
174;49.4;13.1;15;22.5;0
175;50.9;12.7;14.1;22.3;0
176;53.3;11.8;12.9;22;0
177;54.8;11.1;12;22.2;0
178;56.5;10.5;11.1;21.8;0
179;22;27.1;36.6;14.3;0
180;23.7;26.6;35.1;14.6;0
181;24.5;26;33.8;15.8;0
182;26.6;25.2;31.6;16.6;0
183;27.3;24.7;30.7;17.3;0
184;28.6;23.9;29.3;18.2;0
185;31.3;22.8;27.2;18.7;0
186;32.3;22.4;26.1;19.2;0
187;34.3;21.4;24.6;19.7;0
188;36.4;20.8;22.8;20.1;0
189;37.3;19.1;21.8;21.7;0
190;39.5;18.5;20.2;21.8;0
191;41.3;17.9;18.9;22;0
192;43.2;16.9;17.8;22.1;0
193;44.8;15.7;17;22.5;0
194;46.2;14.6;16.2;22.9;0
195;48;13.9;14.8;23.3;0
196;50.1;13.1;13.9;23;0
197;51.8;12.3;13.1;22.9;0
198;53.6;10.7;12.4;23.2;0
199;55.7;10.4;11.1;22.8;0
200;21.7;28.5;35.1;14.7;0
201;22.8;27.6;34;15.6;0
202;24.6;27;32.3;16.1;0
203;25.5;26.9;30.6;17;0
204;27.3;26;29.1;17.6;0
205;28.8;24.5;28;18.7;0
206;30;23.6;27.3;19.1;0
207;32.2;22.5;25.1;20.2;0
208;34;21.5;24.1;20.4;0
209;35.1;21.1;22.5;21.3;0
210;36.7;19.5;21.4;22.4;0
211;38.5;18.6;20.3;22.6;0
212;39.9;17.7;19.1;23.3;0
213;41.9;17.3;17.7;23.2;0
214;44.4;16;16.4;23.2;0
215;45.8;15.4;15.5;23.2;0
216;47.4;14;14.6;24.1;0
217;48.8;13.2;13.7;24.3;0
218;50.5;12.8;12.9;23.8;0
219;52.3;11.5;11.9;24.4;0
220;55.2;10.2;10.9;23.8;0
221;20.4;29.4;34.8;15.3;0
222;22.6;28.5;32.7;16.2;0
223;23.2;27.9;31.6;17.3;0
224;25.1;27.1;30;17.8;0
225;26.1;26.4;28.9;18.5;0
226;27.9;25.9;27.2;18.9;0
227;29.3;24.5;25.8;20.4;0
228;31.2;23.2;24.3;21.3;0
229;32.3;23;23.5;21.3;0
230;34.3;21.3;22.1;22.3;0
231;36.3;20.5;20.5;22.7;0
232;37.9;20.1;19;23;0
233;38.7;18.8;18.7;23.8;0
234;41.5;17.2;17.2;24.1;0
235;42.9;16.5;16.2;24.4;0
236;44.3;15.2;15.3;25.2;0
237;45.8;14.3;14.1;25.7;0
238;48.1;13.7;13.2;25.1;0
239;49.5;12.3;12.7;25.6;0
240;50.9;11.7;11.9;25.4;0
241;53.1;10.6;11.1;25.1;0
242;22.2;30.2;30.9;16.7;0
243;22.9;29.4;30.6;17.2;0
244;24.9;27.4;29.6;18.1;0
245;26;27.2;27.6;19.3;0
246;27.3;26;26.7;20;0
247;28.7;25.2;25.1;21;0
248;30.3;24.2;23.9;21.6;0
249;31.8;23.2;22.7;22.4;0
250;33.5;22.1;21.5;22.9;0
251;34.9;21.4;20.3;23.4;0
252;36.7;19.7;19.2;24.4;0
253;38.9;18.9;17.7;24.5;0
254;39.7;18.3;16.5;25.6;0
255;41.8;17.1;15.5;25.6;0
256;43.1;15.7;14.8;26.3;0
257;45.3;14.7;13.8;26.2;0
258;46.9;13.5;13.2;26.3;0
259;48.5;13.1;12.3;26.2;0
260;50.2;12.2;11.2;26.4;0
261;20.9;30.8;31.3;17;0
262;22.7;29.2;29.6;18.5;0
263;23.6;29;28;19.4;0
264;25.6;28;27.2;19.3;0
265;26.2;27.3;26;20.5;0
266;28.2;26.1;24.6;21.1;0
267;29.5;25.1;23.1;22.3;0
268;31.1;23.6;22.2;23;0
269;32.5;22.9;21;23.6;0
270;34.5;21.6;19.8;24.1;0
271;35.7;20.5;18.9;25;0
272;37.4;18.6;17.7;26.4;0
273;38.6;18.4;16.9;26.1;0
274;40.6;16.8;15.7;26.8;0
275;42.4;16.4;14.1;27.1;0
276;42.9;15.3;14;27.8;0
277;45.5;14.3;12.7;27.5;0
278;46.8;13.6;11.8;27.8;0
279;48.3;12.6;11.3;27.9;0
280;21.5;30.9;28.9;18.7;0
281;23.3;30.1;27.2;19.4;0
282;24.4;29.2;26;20.4;0
283;25.5;28;25;21.5;0
284;26.9;26.8;24.1;22.2;0
285;29;25.5;22.3;23.2;0
286;30.9;24.3;20.9;23.9;0
287;31.7;23.8;19.9;24.6;0
288;32.6;22.2;19.2;25.9;0
289;35.1;20.9;18.1;25.8;0
290;36.3;20.5;16.7;26.5;0
291;37.5;19;16.2;27.2;0
292;39;17.6;15.5;27.9;0
293;40.9;16.5;14.4;28.2;0
294;42.7;15.1;13.9;28.3;0
295;44.4;14.2;12.5;29;0
296;46.1;13;11.9;29;0
297;22;31.3;26.4;20.3;0
298;23.3;29.8;25.2;21.7;0
299;24.8;28.1;24.6;22.4;0
300;26.5;27.6;22.8;23.1;0
301;27.8;26.6;21.7;23.8;0
302;29.4;25.3;20.7;24.6;0
303;30.4;24.1;19.4;26.1;0
304;32;22.8;18.5;26.6;0
305;34;22;17.2;26.8;0
306;34.3;21.2;16.7;27.8;0
307;36.9;19.3;15.8;28;0
308;37.2;18.4;15.5;28.9;0
309;39.4;17.2;13.7;29.6;0
310;41.2;15.8;12.7;30.3;0
311;42.3;15.2;12.7;29.8;0
312;22.6;31.2;24;22.2;0
313;24.7;29.8;22.7;22.8;0
314;25.6;27.9;22.5;24;0
315;26.6;26.8;21.4;25.3;0
316;28.1;26.6;19.6;25.7;0
317;29.9;24.9;19.2;26.1;0
318;31.3;23.4;18;27.3;0
319;32.5;22.7;17.1;27.7;0
320;33.5;21.6;16.2;28.8;0
321;35;20.1;15.6;29.3;0
322;36.7;18.5;14.4;30.4;0
323;38.1;17.6;13.3;31;0
324;39.5;16.5;13.3;30.7;0
325;23.5;30.7;22.5;23.3;0
326;24.6;30;21.1;24.4;0
327;25.4;28.2;20.3;26.1;0
328;26.8;26.2;19.8;27.2;0
329;28.8;25;18.2;27.9;0
330;29.7;24.3;17.9;28.2;0
331;31.3;23;16.6;29.1;0
332;32.7;21.1;15.5;30.6;0
333;34.5;20.5;14.7;30.2;0
334;35.3;19.4;14;31.2;0
335;37.6;17.4;13.5;31.5;0
336;25.1;28.9;19.3;26.8;0
337;26.1;27.7;18.9;27.3;0
338;27.7;25.7;17.7;28.8;0
339;28.9;24.2;17;29.9;0
340;30.4;23.7;15.8;30.1;0
341;30.9;23;15.6;30.5;0
342;32.4;21.1;14.2;32.4;0
