index,x,y
316,-9000,36000
317,-4500,36000
318,0,36000
319,4500,36000
320,9000,36000
321,13500,36000
322,18000,36000
323,22500,36000
324,27000,36000
325,-22500,40500
326,-18000,40500
327,-13500,40500
328,-9000,40500
329,-4500,40500
330,0,40500
331,4500,40500
332,9000,40500
333,13500,40500
334,18000,40500
335,22500,40500
336,-13500,45000
337,-9000,45000
338,-4500,45000
339,0,45000
340,4500,45000
341,9000,45000
342,13500,45000
